---------------------------------------------------------------------------------------------------
Date: 3/14/2026 -- 02:31:55 (uptime: 0d, 00h 00m 08s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 14
capture.afpacket.polls                                       | Total                     | 26751
capture.afpacket.poll_timeout                                | Total                     | 26737
capture.afpacket.poll_data                                   | Total                     | 14
decoder.pkts                                                 | Total                     | 14
decoder.bytes                                                | Total                     | 2200
decoder.ipv4                                                 | Total                     | 9
decoder.ipv6                                                 | Total                     | 4
decoder.ethernet                                             | Total                     | 14
decoder.arp                                                  | Total                     | 1
decoder.tcp                                                  | Total                     | 1
tcp.syn                                                      | Total                     | 1
decoder.udp                                                  | Total                     | 12
decoder.avg_pkt_size                                         | Total                     | 157
decoder.max_pkt_size                                         | Total                     | 210
flow.total                                                   | Total                     | 7
flow.tcp                                                     | Total                     | 1
flow.udp                                                     | Total                     | 6
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 4
flow.wrk.flows_evicted_needs_work                            | Total                     | 1
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 1
flow.wrk.flows_evicted                                       | Total                     | 1
flow.wrk.flows_injected                                      | Total                     | 1
tcp.sessions                                                 | Total                     | 1
tcp.ssn_from_pool                                            | Total                     | 1
app_layer.flow.mdns                                          | Total                     | 4
app_layer.flow.failed_udp                                    | Total                     | 2
app_layer.tx.mdns                                            | Total                     | 4
flow.end.state.new                                           | Total                     | 7
flow.end.tcp_state.syn_sent                                  | Total                     | 1
flow.mgr.full_hash_pass                                      | Total                     | 33
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9605
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 16
flow.mgr.flows_notimeout                                     | Total                     | 10
flow.mgr.flows_timeout                                       | Total                     | 6
flow.mgr.flows_evicted                                       | Total                     | 6
flow.mgr.flows_evicted_needs_work                            | Total                     | 1
memcap.pressure                                              | Total                     | 7
memcap.pressure_max                                          | Total                     | 7
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 5
flow.recycler.queue_max                                      | Total                     | 1
tcp.memuse                                                   | Total                     | 4980736
tcp.reassembly_memuse                                        | Total                     | 917504
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 3/14/2026 -- 02:39:19 (uptime: 0d, 00h 06m 02s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 14
capture.afpacket.polls                                       | Total                     | 27319
capture.afpacket.poll_timeout                                | Total                     | 27305
capture.afpacket.poll_data                                   | Total                     | 14
decoder.pkts                                                 | Total                     | 14
decoder.bytes                                                | Total                     | 2200
decoder.ipv4                                                 | Total                     | 9
decoder.ipv6                                                 | Total                     | 4
decoder.ethernet                                             | Total                     | 14
decoder.arp                                                  | Total                     | 1
decoder.tcp                                                  | Total                     | 1
tcp.syn                                                      | Total                     | 1
decoder.udp                                                  | Total                     | 12
decoder.avg_pkt_size                                         | Total                     | 157
decoder.max_pkt_size                                         | Total                     | 210
flow.total                                                   | Total                     | 7
flow.tcp                                                     | Total                     | 1
flow.udp                                                     | Total                     | 6
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 4
flow.wrk.flows_evicted_needs_work                            | Total                     | 1
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 1
flow.wrk.flows_evicted                                       | Total                     | 1
flow.wrk.flows_injected                                      | Total                     | 1
tcp.sessions                                                 | Total                     | 1
tcp.ssn_from_pool                                            | Total                     | 1
app_layer.flow.mdns                                          | Total                     | 4
app_layer.flow.failed_udp                                    | Total                     | 2
app_layer.tx.mdns                                            | Total                     | 4
flow.end.state.new                                           | Total                     | 7
flow.end.tcp_state.syn_sent                                  | Total                     | 1
flow.mgr.full_hash_pass                                      | Total                     | 34
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9605
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 16
flow.mgr.flows_notimeout                                     | Total                     | 10
flow.mgr.flows_timeout                                       | Total                     | 6
flow.mgr.flows_evicted                                       | Total                     | 6
flow.mgr.flows_evicted_needs_work                            | Total                     | 1
memcap.pressure                                              | Total                     | 7
memcap.pressure_max                                          | Total                     | 7
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 5
flow.recycler.queue_max                                      | Total                     | 1
tcp.memuse                                                   | Total                     | 4980736
tcp.reassembly_memuse                                        | Total                     | 917504
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 3/14/2026 -- 02:39:27 (uptime: 0d, 00h 06m 10s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 18
capture.afpacket.polls                                       | Total                     | 28040
capture.afpacket.poll_timeout                                | Total                     | 28022
capture.afpacket.poll_data                                   | Total                     | 18
decoder.pkts                                                 | Total                     | 18
decoder.bytes                                                | Total                     | 3040
decoder.ipv4                                                 | Total                     | 13
decoder.ipv6                                                 | Total                     | 4
decoder.ethernet                                             | Total                     | 18
decoder.arp                                                  | Total                     | 1
decoder.tcp                                                  | Total                     | 1
tcp.syn                                                      | Total                     | 1
decoder.udp                                                  | Total                     | 16
decoder.avg_pkt_size                                         | Total                     | 168
decoder.max_pkt_size                                         | Total                     | 210
flow.total                                                   | Total                     | 8
flow.active                                                  | Total                     | 1
flow.tcp                                                     | Total                     | 1
flow.udp                                                     | Total                     | 7
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 4
flow.wrk.flows_evicted_needs_work                            | Total                     | 1
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 1
flow.wrk.flows_evicted                                       | Total                     | 1
flow.wrk.flows_injected                                      | Total                     | 1
tcp.sessions                                                 | Total                     | 1
tcp.ssn_from_pool                                            | Total                     | 1
app_layer.flow.mdns                                          | Total                     | 4
app_layer.flow.failed_udp                                    | Total                     | 3
app_layer.tx.mdns                                            | Total                     | 4
flow.end.state.new                                           | Total                     | 7
flow.end.tcp_state.syn_sent                                  | Total                     | 1
flow.mgr.full_hash_pass                                      | Total                     | 35
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9605
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 16
flow.mgr.flows_notimeout                                     | Total                     | 10
flow.mgr.flows_timeout                                       | Total                     | 6
flow.mgr.flows_evicted                                       | Total                     | 6
flow.mgr.flows_evicted_needs_work                            | Total                     | 1
memcap.pressure                                              | Total                     | 7
memcap.pressure_max                                          | Total                     | 7
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 5
flow.recycler.queue_max                                      | Total                     | 1
tcp.memuse                                                   | Total                     | 4980736
tcp.reassembly_memuse                                        | Total                     | 917504
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 3/14/2026 -- 02:39:35 (uptime: 0d, 00h 06m 18s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 18
capture.afpacket.polls                                       | Total                     | 28639
capture.afpacket.poll_timeout                                | Total                     | 28621
capture.afpacket.poll_data                                   | Total                     | 18
decoder.pkts                                                 | Total                     | 18
decoder.bytes                                                | Total                     | 3040
decoder.ipv4                                                 | Total                     | 13
decoder.ipv6                                                 | Total                     | 4
decoder.ethernet                                             | Total                     | 18
decoder.arp                                                  | Total                     | 1
decoder.tcp                                                  | Total                     | 1
tcp.syn                                                      | Total                     | 1
decoder.udp                                                  | Total                     | 16
decoder.avg_pkt_size                                         | Total                     | 168
decoder.max_pkt_size                                         | Total                     | 210
flow.total                                                   | Total                     | 8
flow.active                                                  | Total                     | 1
flow.tcp                                                     | Total                     | 1
flow.udp                                                     | Total                     | 7
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 4
flow.wrk.flows_evicted_needs_work                            | Total                     | 1
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 1
flow.wrk.flows_evicted                                       | Total                     | 1
flow.wrk.flows_injected                                      | Total                     | 1
tcp.sessions                                                 | Total                     | 1
tcp.ssn_from_pool                                            | Total                     | 1
app_layer.flow.mdns                                          | Total                     | 4
app_layer.flow.failed_udp                                    | Total                     | 3
app_layer.tx.mdns                                            | Total                     | 4
flow.end.state.new                                           | Total                     | 7
flow.end.tcp_state.syn_sent                                  | Total                     | 1
flow.mgr.full_hash_pass                                      | Total                     | 35
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9605
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 17
flow.mgr.flows_notimeout                                     | Total                     | 11
flow.mgr.flows_timeout                                       | Total                     | 6
flow.mgr.flows_evicted                                       | Total                     | 6
flow.mgr.flows_evicted_needs_work                            | Total                     | 1
memcap.pressure                                              | Total                     | 7
memcap.pressure_max                                          | Total                     | 7
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 5
flow.recycler.queue_max                                      | Total                     | 1
tcp.memuse                                                   | Total                     | 4980736
tcp.reassembly_memuse                                        | Total                     | 917504
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 3/14/2026 -- 02:39:43 (uptime: 0d, 00h 06m 26s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 18
capture.afpacket.polls                                       | Total                     | 29239
capture.afpacket.poll_timeout                                | Total                     | 29221
capture.afpacket.poll_data                                   | Total                     | 18
decoder.pkts                                                 | Total                     | 18
decoder.bytes                                                | Total                     | 3040
decoder.ipv4                                                 | Total                     | 13
decoder.ipv6                                                 | Total                     | 4
decoder.ethernet                                             | Total                     | 18
decoder.arp                                                  | Total                     | 1
decoder.tcp                                                  | Total                     | 1
tcp.syn                                                      | Total                     | 1
decoder.udp                                                  | Total                     | 16
decoder.avg_pkt_size                                         | Total                     | 168
decoder.max_pkt_size                                         | Total                     | 210
flow.total                                                   | Total                     | 8
flow.active                                                  | Total                     | 1
flow.tcp                                                     | Total                     | 1
flow.udp                                                     | Total                     | 7
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 4
flow.wrk.flows_evicted_needs_work                            | Total                     | 1
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 1
flow.wrk.flows_evicted                                       | Total                     | 1
flow.wrk.flows_injected                                      | Total                     | 1
tcp.sessions                                                 | Total                     | 1
tcp.ssn_from_pool                                            | Total                     | 1
app_layer.flow.mdns                                          | Total                     | 4
app_layer.flow.failed_udp                                    | Total                     | 3
app_layer.tx.mdns                                            | Total                     | 4
flow.end.state.new                                           | Total                     | 7
flow.end.tcp_state.syn_sent                                  | Total                     | 1
flow.mgr.full_hash_pass                                      | Total                     | 36
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9605
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 17
flow.mgr.flows_notimeout                                     | Total                     | 11
flow.mgr.flows_timeout                                       | Total                     | 6
flow.mgr.flows_evicted                                       | Total                     | 6
flow.mgr.flows_evicted_needs_work                            | Total                     | 1
memcap.pressure                                              | Total                     | 7
memcap.pressure_max                                          | Total                     | 7
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 5
flow.recycler.queue_max                                      | Total                     | 1
tcp.memuse                                                   | Total                     | 4980736
tcp.reassembly_memuse                                        | Total                     | 917504
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 3/14/2026 -- 02:39:51 (uptime: 0d, 00h 06m 34s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 18
capture.afpacket.polls                                       | Total                     | 29959
capture.afpacket.poll_timeout                                | Total                     | 29941
capture.afpacket.poll_data                                   | Total                     | 18
decoder.pkts                                                 | Total                     | 18
decoder.bytes                                                | Total                     | 3040
decoder.ipv4                                                 | Total                     | 13
decoder.ipv6                                                 | Total                     | 4
decoder.ethernet                                             | Total                     | 18
decoder.arp                                                  | Total                     | 1
decoder.tcp                                                  | Total                     | 1
tcp.syn                                                      | Total                     | 1
decoder.udp                                                  | Total                     | 16
decoder.avg_pkt_size                                         | Total                     | 168
decoder.max_pkt_size                                         | Total                     | 210
flow.total                                                   | Total                     | 8
flow.active                                                  | Total                     | 1
flow.tcp                                                     | Total                     | 1
flow.udp                                                     | Total                     | 7
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 4
flow.wrk.flows_evicted_needs_work                            | Total                     | 1
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 1
flow.wrk.flows_evicted                                       | Total                     | 1
flow.wrk.flows_injected                                      | Total                     | 1
tcp.sessions                                                 | Total                     | 1
tcp.ssn_from_pool                                            | Total                     | 1
app_layer.flow.mdns                                          | Total                     | 4
app_layer.flow.failed_udp                                    | Total                     | 3
app_layer.tx.mdns                                            | Total                     | 4
flow.end.state.new                                           | Total                     | 7
flow.end.tcp_state.syn_sent                                  | Total                     | 1
flow.mgr.full_hash_pass                                      | Total                     | 37
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9605
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 17
flow.mgr.flows_notimeout                                     | Total                     | 11
flow.mgr.flows_timeout                                       | Total                     | 6
flow.mgr.flows_evicted                                       | Total                     | 6
flow.mgr.flows_evicted_needs_work                            | Total                     | 1
memcap.pressure                                              | Total                     | 7
memcap.pressure_max                                          | Total                     | 7
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 5
flow.recycler.queue_max                                      | Total                     | 1
tcp.memuse                                                   | Total                     | 4980736
tcp.reassembly_memuse                                        | Total                     | 917504
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 3/14/2026 -- 02:39:59 (uptime: 0d, 00h 06m 42s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 18
capture.afpacket.polls                                       | Total                     | 30469
capture.afpacket.poll_timeout                                | Total                     | 30451
capture.afpacket.poll_data                                   | Total                     | 18
decoder.pkts                                                 | Total                     | 18
decoder.bytes                                                | Total                     | 3040
decoder.ipv4                                                 | Total                     | 13
decoder.ipv6                                                 | Total                     | 4
decoder.ethernet                                             | Total                     | 18
decoder.arp                                                  | Total                     | 1
decoder.tcp                                                  | Total                     | 1
tcp.syn                                                      | Total                     | 1
decoder.udp                                                  | Total                     | 16
decoder.avg_pkt_size                                         | Total                     | 168
decoder.max_pkt_size                                         | Total                     | 210
flow.total                                                   | Total                     | 8
flow.active                                                  | Total                     | 1
flow.tcp                                                     | Total                     | 1
flow.udp                                                     | Total                     | 7
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 4
flow.wrk.flows_evicted_needs_work                            | Total                     | 1
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 1
flow.wrk.flows_evicted                                       | Total                     | 1
flow.wrk.flows_injected                                      | Total                     | 1
tcp.sessions                                                 | Total                     | 1
tcp.ssn_from_pool                                            | Total                     | 1
app_layer.flow.mdns                                          | Total                     | 4
app_layer.flow.failed_udp                                    | Total                     | 3
app_layer.tx.mdns                                            | Total                     | 4
flow.end.state.new                                           | Total                     | 7
flow.end.tcp_state.syn_sent                                  | Total                     | 1
flow.mgr.full_hash_pass                                      | Total                     | 38
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9605
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 17
flow.mgr.flows_notimeout                                     | Total                     | 11
flow.mgr.flows_timeout                                       | Total                     | 6
flow.mgr.flows_evicted                                       | Total                     | 6
flow.mgr.flows_evicted_needs_work                            | Total                     | 1
memcap.pressure                                              | Total                     | 7
memcap.pressure_max                                          | Total                     | 7
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 5
flow.recycler.queue_max                                      | Total                     | 1
tcp.memuse                                                   | Total                     | 4980736
tcp.reassembly_memuse                                        | Total                     | 917504
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 3/14/2026 -- 02:40:07 (uptime: 0d, 00h 06m 50s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 18
capture.afpacket.polls                                       | Total                     | 31159
capture.afpacket.poll_timeout                                | Total                     | 31141
capture.afpacket.poll_data                                   | Total                     | 18
decoder.pkts                                                 | Total                     | 18
decoder.bytes                                                | Total                     | 3040
decoder.ipv4                                                 | Total                     | 13
decoder.ipv6                                                 | Total                     | 4
decoder.ethernet                                             | Total                     | 18
decoder.arp                                                  | Total                     | 1
decoder.tcp                                                  | Total                     | 1
tcp.syn                                                      | Total                     | 1
decoder.udp                                                  | Total                     | 16
decoder.avg_pkt_size                                         | Total                     | 168
decoder.max_pkt_size                                         | Total                     | 210
flow.total                                                   | Total                     | 8
flow.tcp                                                     | Total                     | 1
flow.udp                                                     | Total                     | 7
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 4
flow.wrk.flows_evicted_needs_work                            | Total                     | 1
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 1
flow.wrk.flows_evicted                                       | Total                     | 1
flow.wrk.flows_injected                                      | Total                     | 1
tcp.sessions                                                 | Total                     | 1
tcp.ssn_from_pool                                            | Total                     | 1
app_layer.flow.mdns                                          | Total                     | 4
app_layer.flow.failed_udp                                    | Total                     | 3
app_layer.tx.mdns                                            | Total                     | 4
flow.end.state.new                                           | Total                     | 8
flow.end.tcp_state.syn_sent                                  | Total                     | 1
flow.mgr.full_hash_pass                                      | Total                     | 39
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9606
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 18
flow.mgr.flows_notimeout                                     | Total                     | 11
flow.mgr.flows_timeout                                       | Total                     | 7
flow.mgr.flows_evicted                                       | Total                     | 7
flow.mgr.flows_evicted_needs_work                            | Total                     | 1
memcap.pressure                                              | Total                     | 7
memcap.pressure_max                                          | Total                     | 7
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 6
flow.recycler.queue_max                                      | Total                     | 1
tcp.memuse                                                   | Total                     | 4980736
tcp.reassembly_memuse                                        | Total                     | 917504
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 3/14/2026 -- 02:40:15 (uptime: 0d, 00h 06m 58s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
